payment_id,claim_id,payment_date,payment_type,payment_value,claim_date
184973,5818,2023-01-31 00:00:00+00:00,RESPONSABILIDAD CIVIL,10000000.0,2023-01-23 00:00:00+00:00
257868,5818,2023-01-12 00:00:00+00:00,PÉRDIDA TOTAL,97000000.0,2023-01-23 00:00:00+00:00
744404,4240,2023-01-24 00:00:00+00:00,CONDUCTOR ELEGIDO,20000000.0,2023-01-23 00:00:00+00:00
512627,4240,2023-01-21 00:00:00+00:00,CONDUCTOR ELEGIDO,79000000.0,2023-01-23 00:00:00+00:00
957802,524,2023-01-21 00:00:00+00:00,CONDUCTOR ELEGIDO,29000000.0,2023-01-23 00:00:00+00:00
870059,524,2023-01-24 00:00:00+00:00,PÉRDIDA TOTAL,9000000.0,2023-01-23 00:00:00+00:00
620057,524,2023-01-14 00:00:00+00:00,GRÚA,44000000.0,2023-01-23 00:00:00+00:00
430761,4230,2023-01-13 00:00:00+00:00,CONDUCTOR ELEGIDO,45000000.0,2023-01-23 00:00:00+00:00
904891,4230,2023-01-14 00:00:00+00:00,PÉRDIDA TOTAL,41000000.0,2023-01-23 00:00:00+00:00
941990,4230,2023-01-18 00:00:00+00:00,PÉRDIDA PARCIAL,97000000.0,2023-01-23 00:00:00+00:00
983051,4198,2023-01-11 00:00:00+00:00,RESPONSABILIDAD CIVIL,65000000.0,2023-01-23 00:00:00+00:00
563457,6305,2023-01-30 00:00:00+00:00,CONDUCTOR ELEGIDO,6000000.0,2023-01-23 00:00:00+00:00
386472,9729,2023-01-22 00:00:00+00:00,RESPONSABILIDAD CIVIL,4000000.0,2023-01-23 00:00:00+00:00
165507,9729,2023-01-03 00:00:00+00:00,RESPONSABILIDAD CIVIL,81000000.0,2023-01-23 00:00:00+00:00
975659,9729,2023-01-26 00:00:00+00:00,PÉRDIDA TOTAL,43000000.0,2023-01-23 00:00:00+00:00
540363,9729,2023-01-07 00:00:00+00:00,GRÚA,19000000.0,2023-01-23 00:00:00+00:00
313492,9729,2023-01-02 00:00:00+00:00,GRÚA,40000000.0,2023-01-23 00:00:00+00:00
441243,9729,2023-01-17 00:00:00+00:00,PÉRDIDA PARCIAL,92000000.0,2023-01-23 00:00:00+00:00
326306,9643,2023-01-11 00:00:00+00:00,GRÚA,41000000.0,2023-01-23 00:00:00+00:00
29452,9643,2023-01-18 00:00:00+00:00,PÉRDIDA TOTAL,1000000.0,2023-01-23 00:00:00+00:00
641532,9643,2023-01-23 00:00:00+00:00,PÉRDIDA PARCIAL,31000000.0,2023-01-23 00:00:00+00:00
